px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.94613	19.1403	4.97033	3.73451	0.434967	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	0
4.78255	18.9889	4.92251	3.76899	0.450315	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0
4.57431	18.8388	4.95245	3.79488	0.461029	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	0
4.3963	18.7068	4.91977	3.81508	0.458635	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	0
4.21323	18.5649	4.8813	3.82861	0.437941	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	0
4.08767	18.409	4.80502	3.8663	0.457813	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	0
3.9048	18.236	4.87123	3.90676	0.500617	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	0
3.65063	18.0953	4.94811	3.8993	0.461348	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	0
3.48703	17.9446	4.88889	3.91148	0.437338	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	0
3.26133	17.7779	4.94618	3.91618	0.416149	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	0
3.08264	17.594	4.98746	3.94765	0.44145	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	0
2.90303	17.4764	4.94981	3.94736	0.416813	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	0
2.76164	17.2597	4.98673	3.9998	0.470535	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	0
2.58664	17.0741	4.99896	4.01736	0.463424	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0
2.42232	16.9079	4.941	4.01973	0.423667	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	0
2.25785	16.7356	4.93446	4.0325	0.414166	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0
2.08339	16.5402	4.93233	4.0397	0.387807	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	0
1.92905	16.31	4.96648	4.06815	0.397445	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	0
1.77169	16.134	4.92864	4.07123	0.36818	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	0
1.56672	15.9658	4.96108	4.06033	0.333632	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	0
1.44055	15.7346	5.00493	4.10364	0.3787	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	0
1.26824	15.517	5.04612	4.11412	0.368128	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0
1.11173	15.3242	5.03561	4.11964	0.349256	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	0
0.900547	15.1065	5.11238	4.11223	0.31901	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	0
0.753109	14.9258	5.0576	4.11097	0.287903	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	0
0.650151	14.711	5.02677	4.14105	0.306506	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0
0.538577	14.4698	5.06346	4.1791	0.343675	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	0
0.364903	14.248	5.10937	4.1792	0.323131	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	0
0.244832	13.9962	5.18327	4.2174	0.366336	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	0
0.228564	13.7471	5.1114	4.28042	0.419554	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	0
0.126102	13.5045	5.14888	4.3095	0.436985	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0
-0.0404957	13.2743	5.19662	4.30246	0.401774	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	0
-0.15857	13.0559	5.1575	4.30591	0.37349	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	0
-0.164599	12.8292	5.07421	4.36121	0.4191	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	0
-0.283298	12.604	5.04085	4.3586	0.380067	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	0
-0.402508	12.3683	5.06346	4.36288	0.361818	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0
-0.52691	12.1597	5.03165	4.35441	0.323355	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	0
-0.605016	11.94	5.00767	4.3715	0.325025	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0
-0.731457	11.7121	5.01101	4.36392	0.291561	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598	0
-0.926652	11.4688	5.09084	4.3308	0.232648	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628	0
-1.03307	11.2433	5.04474	4.32534	0.198482	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549	0
-1.20921	11.0163	5.09064	4.29863	0.154327	-1.39289	11.0424	-1.21362	10.9695	-2.08575	-4.73364	0
-1.28802	10.7703	5.12252	4.32669	0.190605	-1.29894	10.9012	-1.31706	10.7324	-2.05273	-4.75075	0
-1.41688	10.5168	5.16412	4.32419	0.176053	-1.49687	10.4198	-1.41889	10.4945	-2.02111	-4.76686	0
-1.50324	10.2544	5.20951	4.34739	0.202274	-1.59293	10.0212	-1.51917	10.2559	-1.99093	-4.78198	0
-1.60178	10.044	5.17551	4.35008	0.194034	-1.61875	10.2374	-1.61797	10.0165	-1.96221	-4.79615	0
-1.69116	9.81403	5.14939	4.35575	0.185344	-1.59702	9.96554	-1.71539	9.77637	-1.93498	-4.80939	0
-1.76602	9.59349	5.11523	4.36813	0.18937	-1.73381	9.71347	-1.81147	9.53564	-1.90924	-4.82172	0
-1.87501	9.34177	5.16613	4.37451	0.193595	-2.27191	9.37316	-1.90631	9.29431	-1.88502	-4.83316	0
